"","MSW05_Binomial","sample.size","min.mass","max.mass","avg.mass","sd.err.mass","pan.mass","mass.diff"
"186","Myotis auriculus",15,5,38.5,19.0466666666667,4.01646452761472,38.04,4.72886868606631
"187","Myotis austroriparius",11,3.5,8,6.32727272727273,0.415843263543743,7.35,2.4594056520521
"188","Myotis californicus",205,1.6,10,4.15019512195122,0.0734160969744203,4.39,3.26638009825465
"189","Myotis ciliolabrum",50,2.3,10,6.084,0.340951370043726,4.89,3.50196569043519
"190","Myotis evotis",127,1.2,37,6.1740157480315,0.273495275626121,6.91,2.69103095212008
"191","Myotis fortidens",30,7,9,8.46666666666667,0.104313115444032,4.37,39.2727860655711
"192","Myotis grisescens",19,6.7,39,12.1736842105263,1.8577928504442,10.84,0.717886394173296
"193","Myotis horsfieldii",17,3.1,6.8,5.04411764705882,0.342564999009988,6.05,2.93632553193752
"194","Myotis keaysi",14,2.5,6.7,4.68571428571429,0.273531472134447,5.45,2.79414177945144
"195","Myotis keenii",33,2.6,10.5,5.64848484848485,0.276334955815087,6.51,3.11764810562601
"196","Myotis leibii",21,3.3,32.5,5.57380952380952,1.35866539491105,5.22,0.260409608675348
"197","Myotis lucifugus",311,3.1,227,7.79852090032154,0.725973301088199,7.8,0.00203740230699846
"198","Myotis macrotarsus",11,11.4,14.8,13.3090909090909,0.346791670617847,12.64,1.92937422025982
"199","Myotis sodalis",19,4.86,18,8.10789473684211,0.852463090709418,7.15,1.12367883991898
"200","Myotis thysanodes",30,5,47.5,9.34,1.80574339134947,8.49,0.470720260736923
"201","Myotis velifer",40,4.4,42.5,11.4475,1.40920048026877,9.82,1.15491019396303
