"","MSW05_Binomial","sample.size","min.mass","max.mass","avg.mass","sd.err.mass","pan.mass","mass.diff"
"101","Harpyionycteris whiteheadi",24,58,150,111.5,4.90082808737758,135.48,4.89305063806709
"102","Heteromys anomalus",15,22,87.1,47.8733333333333,3.69914361603649,69.06,5.72745177419402
"103","Heteromys desmarestianus",83,33,110,67.2698795180723,1.76494977484567,74,3.81320793251254
"104","Hipposideros ater",36,4.3,38,12.6944444444444,2.22156527988015,5.86,3.07640946063631
"105","Hipposideros diadema",149,23,86.5,36.6503355704698,0.767730810191537,46.9,13.35059671107
"106","Hipposideros obscurus",13,7,18,9.45384615384615,0.869763848336873,9.6,0.168038538774996
"107","Hipposideros pygmaeus",12,2.7,7,3.42916666666667,0.332999359207076,3.53,0.302803385488288
"108","Histriophoca fasciata",144,15,117132,57198.5646527778,2069.49759877273,90000,15.8499509091842
"109","Lagenorhynchus obliquidens",19,4645,130000,84984.92,6103.93938988632,109694.46,4.04812997339742
"110","Lasionycteris noctivagans",123,4,40.5,10.2861788617886,0.326896042387573,11.02,2.2448149963876
"111","Lasiurus borealis",50,0,22.7,10.194,0.557189814870945,12.33,3.83352305263285
"112","Lasiurus cinereus",59,2.3,57,22.6567796610169,0.924959488290302,27.06,4.76044669493794
"113","Lasiurus intermedius",17,2,27.4,13.8,2.27854442701527,22.96,4.02011033508745
"114","Lemmiscus curtatus",21,8,26,19.252380952381,1.09188825190517,28.27,8.25873804566058
"115","Lemmus sibiricus",31,15.1,82.2,47.9322580645161,2.90522475986058,53.81,2.02316255068883
"116","Lemmus trimucronatus",436,4.2,75100,208.686697247706,172.1656729491,69.82,0.806587601750099
"117","Leptonycteris nivalis",28,18.6,415,41.4285714285714,13.8473096895642,24.26,1.23984888136865
"118","Leptonycteris yerbabuenae",15,10.35,25,20.61,1.07517661893512,22.24,1.51602999106731
"119","Lepus americanus",582,40,295160,1964.37201030928,527.291944838537,1568.42,0.750916099108102
"120","Lepus californicus",13,1,3175.15,1463.23615384615,320.331409924197,2422.48,2.99453571031589
"121","Lepus othus",92,1800,6492,4588.4547826087,84.9334823841385,4837.35,2.93047229908221
"122","Lepus townsendii",38,6,4883,2886.33394736842,158.70934771461,3371.64,3.05782904170365
"123","Liomys irroratus",12,26.2,86,46.8166666666667,4.77169421239099,48.95,0.447080897974048
"124","Liomys pictus",93,12.5,75.1,41.7290322580645,1.07766497859477,43.28,1.43919285932246
"125","Liomys salvini",25,21,56,36.328,1.83725810199148,41.99,3.08176624387326
"126","Lissodelphis borealis",16,37000,90000,64167.46875,4412.81911624832,113000,11.0660622979526
"127","Lontra canadensis",46,9.3,12890,7551.06326086957,439.81465902485,8087.42,1.21950628094033
"128","Loxodonta africana",117,297824,4746116,2340399.22017094,87333.3349034672,3824539.93,16.9939772879341
"129","Lynx canadensis",11,34,14061.36,8262.83,1486.47592682155,9682.82,0.955272786042544
"130","Lynx rufus",63,8.9,13400,7137.22015873016,449.635024570378,6374.47,1.69637620970244
"131","Macroglossus minimus",99,10,40,15.5686868686869,0.323988193846473,16.3,2.25722154449763
"132","Macrotus californicus",17,8,52,16.5764705882353,3.16987809901734,11.83,1.49736691442699
"133","Macrotus waterhousii",16,10,25,15.559375,0.93082869384848,16.27,0.763432632337477
"134","Marmosa mexicana",12,17,122,50.2916666666667,8.65160221921905,49.06,0.142362840484111
"135","Marmosa robinsoni",53,13,126,54.188679245283,3.5712788141625,60.57,1.78684473735593
"136","Marmosops noctivagus",30,17,76,40.6333333333333,2.61647447862921,39.77,0.329960540561296
"137","Marmota caligata",26,2.5,6100,3799.57038461538,379.961624945095,2253.71,4.06846450569518
"138","Marmota flaviventris",121,19,4762.71,2633.00247933884,97.3618495314833,3709.73,11.0590290328552
"139","Marmota monax",62,6.5,4500,2162.77419354839,147.521627567938,3880.93,11.646806199046
"140","Martes americana",422,6.24,1900,793.255450236967,10.8609355332052,873.69,7.40585831829312
"141","Martes pennanti",21,1587.57,6200,3154.73714285714,257.154917033203,3750,2.31480254785872
"142","Mastomys natalensis",27,11,120,64.1074074074074,7.31478798365017,41.85,3.04279597127854
"143","Maxomys panglima",22,129,248,182.363636363636,6.90082668193718,158.96,3.39142503388689
"144","Megaerops wetmorei",15,12,30,16.7333333333333,1.08766533134778,18.7,1.80815422721038
